Gene ID,Transcript ID,Orthology,Family,AM,OF,IAM,IBM,RootTip,Cotyledon,Hypocotyl,SAM6D,SAM17D,SAM38D,Callus,Leaf,Root,Nodule,Class,Clade
Glyma.09G203300,Glyma.09G203300.2,GmIAA8-9-A.2,IAA,0.763014,0.085581,0,3.485083,0.756641,0,5.860107,0.60379,0.296637,0,0,0,0,0,A,I
Glyma.10G000700,Glyma.10G000700.2,GmIAA1-4-C.2,IAA,0,2.983903,11.798216,25.641433,0,0,1.274675,0,1.925931,0,14.883389,0,0,0,B,II
Glyma.10G021500,Glyma.10G021500.2,GmTIR1/AFB1_C.2,AFB/TIR1,19.724328,16.170619,18.096732,18.503468,10.239295,14.506518,14.635121,12.243954,22.316362,15.443247,25.621399,26.106051,5.641934,3.205496,TIR1/AFB1,I
Glyma.10G021500,Glyma.10G021500.3,GmTIR1/AFB1_C.3,AFB/TIR1,5.583207,2.081541,2.888177,2.213239,0.666973,0.908393,1.2796400000000001,6.671513,2.120712,3.06452,2.413944,4.888901,0.668685,0.259648,TIR1/AFB1,I
Glyma.10G021500,Glyma.10G021500.1,GmTIR1/AFB1_C.1,AFB/TIR1,14.419899,9.741531,6.79071,12.735183,6.157738,17.688606,17.203871,28.663983,21.325627,11.737596,3.718783,4.726063,2.093318,0,TIR1/AFB1,I
Glyma.10G031800,Glyma.10G031800.3,GmIAA1-4-G.3,IAA,4.804718,79.3218,9.396896,6.132264,20.917407999999998,8.491082,40.977161,4.871437,4.225794,6.288672,1.113756,4.079801,1.696998,0.430117,B,II
Glyma.10G031900,Glyma.10G031900.1,GmIAA16-E.1,IAA,2.358678,46.045236,10.06261,6.507048,7.05671,0,7.214928,1.284102,2.334242,1.070871,0.048182,12.023263,40.088389,0,C,III
Glyma.10G031900,Glyma.10G031900.2,GmIAA16-E.2,IAA,0.36532,1.232346,1.337848,0.474788,0.722196,0,0.27208,1.057052,0.030321,0,0,0,0,0,C,III
Glyma.10G040400,Glyma.10G040400.3,GmIAA12-13-D.3,IAA,3.81879,19.033948,5.037925,3.876691,2.364736,0.595765,10.501951,2.506351,3.694283,2.40911,1.091882,2.572001,6.148588,1.625317,A,I
Glyma.10G053500,Glyma.10G053500.1,GmARF17_A.1,ARF,6.843386,10.578868,5.747051,6.023244,1.601361,1.747069,5.557321,2.422115,4.091491,4.876355,3.509643,4.039302,2.398976,0.60104,C,III
Glyma.10G138500,Glyma.10G138500.1,GmIAA31-E.1,IAA,0,0.811493,0,0.091971,1.609456,0,0.803143,0,0,0,0.028966,1.365753,0,0,B,II
Glyma.10G162400,Glyma.10G162400.1,GmIAA16-A.1,IAA,60.897385,87.148645,58.21389,60.418559,39.51602,28.827155,119.35282,55.456636,78.452259,42.917887,2.247079,23.957562,65.117084,21.52767,C,III
Glyma.10G162400,Glyma.10G162400.2,GmIAA16-A.2,IAA,50.429036,62.648515,44.799041,49.047824,54.88613,14.549869,258.563372,52.919869,43.482386,62.182188,12.401001,7.425099,12.077243,0,C,III
Glyma.10G162400,Glyma.10G162400.3,GmIAA16-A.3,IAA,2.914678,8.854174,4.222902,8.037035,3.939196,10.577382,8.914773,8.936035,4.3897,5.414616,1.472337,3.680323,0.386358,0,C,III
Glyma.10G180000,Glyma.10G180000.2,GmIAA1-4-A.2,IAA,18.181273,80.139756,6.457959,20.748054,61.207403,15.804295,60.587657,0,0,12.12382,0,7.201656,11.502032,0,B,II
Glyma.10G180000,Glyma.10G180000.1,GmIAA1-4-A.1,IAA,18.045623,50.335587,13.378778,15.71465,182.245202,3.25,73.693009,8.441971,8.086857,15.397981,0.033888,22.932781,40.590251,3.438369,B,II
Glyma.10G180100,Glyma.10G180100.1,GmIAA7/14/17-A.1,IAA,7.941917,536.895072,6.035997,7.033665,214.246604,30.729826,350.297556,2.600212,4.426392,5.209396,2.744771,20.850299,94.160633,5.269519,C,III
Glyma.10G210600,Glyma.10G210600.1,GmARF10/16_E.1,ARF,15.917001,6.97154,9.537723,11.845456,19.079161,1.684311,7.753143,15.128833,15.270284,10.258521,0.677706,3.091129,9.387851,7.798767,C,III
Glyma.10G270500,Glyma.10G270500.1,GmIAA32/34-A.1,IAA,0,0,0,0.492012,0.019696,0,2.883292,0,0,0.046492,0,0.640769,0,0,A,I
Glyma.11G145500,Glyma.11G145500.1,GmARF10/16_D.1,ARF,15.909573,17.106814,12.586106,12.520897,6.758486,30.401493,8.543969,9.310248,10.078082,10.215456,0.759723,4.047713,2.691333,0.596545,C,III
Glyma.11G204200,Glyma.11G204200.1,GmARF8_A.1,ARF,19.241075,21.103199,0,3.05566,3.172375,0,5.721453,0,0,17.832069,0,18.572984,3.488127,1.310676,A,II
Glyma.11G204200,Glyma.11G204200.2,GmARF8_A.2,ARF,13.373647,0,35.09998,44.159391,4.581945,10.26129,31.902014,32.214786,40.620313,0,17.181705,0,0,0,A,II
Glyma.11G227300,Glyma.11G227300.1,GmCOI1_B.1,AFB/TIR1,18.068083,11.595375,28.796279,30.443669,4.930592,21.328044,21.024339,14.48028,16.82458,9.490509,42.501074,12.497006,20.49473,6.948547,COI1,V
Glyma.12G071000,Glyma.12G071000.1,GmARF4_A.1,ARF,11.369516,0,8.25687,15.642403,0,0,3.559222,10.921514,17.351369,11.332962,0,12.382123,0,0,B,I
Glyma.12G071000,Glyma.12G071000.2,GmARF4_A.2,ARF,5.966938,8.041472,1.704421,4.29423,0.298801,3.024782,6.323998,0.196041,0,1.458274,2.217063,0,6.235388,2.460359,B,I
Glyma.12G076200,Glyma.12G076200.1,GmARF10/16_C.1,ARF,26.335605,11.584763,18.655286,20.247595,4.482571,3.598909,6.567602,8.931069,9.221096,17.059916,0.926472,4.867979,2.699865,1.715625,C,III
Glyma.12G164100,Glyma.12G164100.1,GmARF1_A.1,ARF,29.907851,25.658848,21.848792,33.978092,12.158648,15.573356,22.344234,27.195518,37.96394,21.69255,51.46068,19.141297,21.871309,7.347936,B,I
Glyma.12G171000,Glyma.12G171000.2,GmARF4_C.2,ARF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,I
Glyma.12G171000,Glyma.12G171000.1,GmARF4_C.1,ARF,0,0,0,0,0,0,0,0,0,0,0,4.750373,0,1.006833,B,I
Glyma.12G171000,Glyma.12G171000.3,GmARF4_C.3,ARF,5.101415,0,2.289042,5.372018,0.461877,3.013608,3.151519,12.732037,13.912201,0,1.201914,0,0,0,B,I
Glyma.12G171000,Glyma.12G171000.4,GmARF4_C.4,ARF,0,2.984782,0,0,1.08553,0,5.852044,0,0,5.321102,0,1.376155,1.343313,0,B,I
Glyma.12G171000,Glyma.12G171000.5,GmARF4_C.5,ARF,0,0,0,0.142965,0,0,0,0,0.937799,0.296691,0,0,2.911318,0,B,I
Glyma.12G171000,Glyma.12G171000.6,GmARF4_C.6,ARF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,I
Glyma.12G171000,Glyma.12G171000.7,GmARF4_C.7,ARF,0,0,2.288279,0,0,0,0,3.58295,2.453795,0,0,0,0,0,B,I
Glyma.12G171000,Glyma.12G171000.8,GmARF4_C.8,ARF,0,0.617741,0,0,0,0,0.796604,0,0,0,0,0,1.673626,0,B,I
